Año,Trimestre,Provincia,Accesos/100 hab,Latitud,Longitud
2020,3,Santa Cruz,"10,70","-48,7834","-69,9335"
2020,3,Santa Fe,"22,68","-31,6333","-60,7000"
2020,3,Santiago Del Estero,"10,76","-27,7834","-64,2642"
2020,3,Tierra Del Fuego,"22,77","-54,8019","-68,3029"
2020,3,Tucumán,"13,18","-26,8241","-65,2226"
2020,2,Buenos Aires,"21,55","-36,6769","-60,5588"
2020,2,Capital Federal,"44,15","-34,6037","-58,3816"
2020,2,Catamarca,"11,56","-28,4696","-65,7795"
2020,2,Chaco,"10,65","-27,4515","-58,9864"
2020,2,Chubut,"17,58","-43,3002","-65,1023"
2020,2,Córdoba,"22,26","-31,4201","-64,1888"
2020,2,Corrientes,"10,61","-27,4806","-58,8341"
2020,2,Entre Ríos,"16,90","-32,0718","-60,5238"
2020,2,Formosa,"7,93","-26,1728","-58,1825"
2020,2,Jujuy,"12,25","-24,1945","-65,2971"
2020,2,La Pampa,"25,07","-37,7429","-64,2856"
2020,2,La Rioja,"13,27","-29,4135","-66,8565"
2020,2,Mendoza,"10,12","-34,5890","-68,3480"
2020,2,Misiones,"11,14","-27,3644","-55,9000"
2020,2,Neuquén,"19,02","-38,9516","-68,0591"
2020,2,Río Negro,"17,34","-40,8135","-67,9665"
2020,2,Salta,"12,49","-24,7821","-65,4232"
2020,2,San Juan,"8,94","-31,5275","-68,5386"
2020,2,San Luis,"22,44","-33,3018","-66,3378"
2020,2,Santa Cruz,"10,65","-48,7834","-69,9335"
2020,2,Santa Fe,"22,01","-31,6333","-60,7000"
2020,2,Santiago Del Estero,"10,79","-27,7834","-64,2642"
2020,2,Tierra Del Fuego,"22,64","-54,8019","-68,3029"
2020,2,Tucumán,"12,83","-26,8241","-65,2226"
2020,1,Buenos Aires,"21,21","-36,6769","-60,5588"
2020,1,Capital Federal,"44,02","-34,6037","-58,3816"
2020,1,Catamarca,"9,57","-28,4696","-65,7795"
2020,1,Chaco,"10,02","-27,4515","-58,9864"
